sample_id,file_name,content_type,agent,agent_score,confidence,evidence,weakness
image_06,6.jpg,人物插画,SafetyAndTrustAgent,91.37765221107156,0.8,伪影与噪声风险反向,无专家标签，规则型复核不覆盖主评分
image_06,6.jpg,人物插画,ParameterAgent,50.0,0.3,无真实生成参数，给中性分并要求人工补充,缺少真实参数
image_07,7.jpg,水墨插画,RelevanceAgent,62.5,0.8,代理语义要素覆盖率,无专家标签，规则型复核不覆盖主评分
image_07,7.jpg,水墨插画,TechnicalAgent,85.89750320725938,0.8,清晰度/NSS/噪声/伪影,无专家标签，规则型复核不覆盖主评分
image_07,7.jpg,水墨插画,StructureAgent,73.14661356142396,0.8,边缘连续性与结构完整性,无专家标签，规则型复核不覆盖主评分
image_07,7.jpg,水墨插画,AestheticOrReadabilityAgent,55.799909837886766,0.8,色彩与构图代理,无专家标签，规则型复核不覆盖主评分
image_07,7.jpg,水墨插画,SafetyAndTrustAgent,84.80605519943238,0.8,伪影与噪声风险反向,无专家标签，规则型复核不覆盖主评分
image_07,7.jpg,水墨插画,ParameterAgent,50.0,0.3,无真实生成参数，给中性分并要求人工补充,缺少真实参数
image_08,8.jpg,像素街景,RelevanceAgent,52.5,0.8,代理语义要素覆盖率,无专家标签，规则型复核不覆盖主评分
image_08,8.jpg,像素街景,TechnicalAgent,85.9866639908685,0.8,清晰度/NSS/噪声/伪影,无专家标签，规则型复核不覆盖主评分
image_08,8.jpg,像素街景,StructureAgent,69.15396145059465,0.8,边缘连续性与结构完整性,无专家标签，规则型复核不覆盖主评分
image_08,8.jpg,像素街景,AestheticOrReadabilityAgent,63.234585922615196,0.8,色彩与构图代理,无专家标签，规则型复核不覆盖主评分
image_08,8.jpg,像素街景,SafetyAndTrustAgent,92.58041861469745,0.8,伪影与噪声风险反向,无专家标签，规则型复核不覆盖主评分
image_08,8.jpg,像素街景,ParameterAgent,50.0,0.3,无真实生成参数，给中性分并要求人工补充,缺少真实参数
